,pf_lon,pf_lat,saf_lon,saf_lat
0,0.0,-50.73311273588562,0.0,-45.43844644886531
1,0.03748829732013275,-50.743793687889095,0.1666666716337204,-45.450717205603766
2,0.1361033126359021,-50.76938968367663,0.3333333432674408,-45.46231181961502
3,0.26874415611064695,-50.79679640694539,0.5000000074505806,-45.47372343908225
4,0.41499532488851754,-50.79816598768812,0.6666666805744171,-45.48503141544406
5,0.5675293892535465,-50.82595197256887,0.833333338300387,-45.49674896923329
6,0.6769299583701489,-50.84652480085499,1.0000000042574746,-45.50982251861787
7,0.8006470419401599,-50.86726074463144,1.1666666604578495,-45.525322447583754
8,0.9339084817245866,-50.88763216582745,1.3054688474122988,-45.53923883293795
9,1.0738509589381753,-50.90842482884786,1.4415886372850217,-45.5559062373048
10,1.3405176335521278,-50.94906305461217,1.7415886372850218,-45.59058565409542
11,1.6278039589842226,-50.991049901535995,2.041588628344325,-45.629162951441906
12,1.8944706246574785,-51.02706724362204,2.332605853372125,-45.668922325437926
13,2.1611372813900376,-51.06110918547424,2.599272527986078,-45.707978295534225
14,2.4278039560039906,-51.10568518299171,2.8659391906791014,-45.746333064912946
15,2.6947839848961213,-51.13664275358842,3.132605877213983,-45.78038671286582
16,2.99478399681705,-51.16870664011164,3.381293281940831,-45.809869810133044
17,3.294783984896121,-51.197969596128374,3.6146266073268785,-45.8334407594098
18,3.5947839848961207,-51.22455185596823,3.8730379730220887,-45.8524091647338
19,3.894784008737979,-51.246605899716485,4.139704647636042,-45.863363697484154
20,4.194783984896121,-51.26396543170806,4.4063712984081365,-45.86521190967155
21,4.5,-51.27776491182681,4.673037973022089,-45.8613938421403
22,4.833333349227905,-51.29028797691211,4.9486874285687055,-45.85671608148143
23,5.1666666746139525,-51.29743678150619,5.248687404726848,-45.853901515161255
24,5.5,-51.29831849766223,5.531180118306969,-45.85082989245316
25,5.833333349227905,-51.291191608789276,5.797846769079063,-45.85095262916942
26,6.150303268227299,-51.279565856121984,6.082492713580121,-45.85375827637351
27,6.4503032682273,-51.26366720661572,6.38249271358012,-45.856805695410245
28,6.7503032682273005,-51.24169827516412,6.666967870560379,-45.86108977726885
29,7.050303220543585,-51.21552309075297,6.933634521332474,-45.86644486127169
30,7.3503032682273,-51.18605384019507,7.200301172104568,-45.87021923390223
31,7.6503032682273,-51.153385131586745,7.466967870560379,-45.87237980776105
32,7.943251700146026,-51.11927474658748,7.7336345213324735,-45.87272609001967
33,8.20991835091812,-51.08611004389697,8.000301172104567,-45.87271643387304
34,8.47658504937393,-51.05402910281288,8.258246603984563,-45.87271643387304
35,8.743251700146025,-51.02520659530826,8.524913302440373,-45.87657683344283
36,9.026281733462914,-50.99726477992347,8.791579953212468,-45.888242459371874
37,9.32628178114663,-50.970340223755535,9.050419252495946,-45.909706968655726
38,9.62628178114663,-50.946308739624534,9.299277397059878,-45.93567902063582
39,9.926281781146631,-50.924716228608624,9.565944095515688,-45.97419176538118
40,10.22628178114663,-50.90535918305691,9.832610793971499,-46.02430200773737
41,10.526281781146631,-50.889387712001835,10.067103827392994,-46.07560756249218
42,10.83333330154419,-50.877473153007394,10.300437128937185,-46.134327663273
43,11.16666669845581,-50.868215793165156,10.533770525848805,-46.198022565882425
44,11.5,-50.862302792142515,10.79333238038869,-46.266657520666534
45,11.83333330154419,-50.85933223148457,11.03186773503081,-46.33057302452373
46,12.16666669845581,-50.85943570720348,11.265201036574998,-46.388047469745544
47,12.5,-50.863085209786895,11.506361784975235,-46.4358649989182
48,12.83333330154419,-50.87058693830109,11.753241040019365,-46.4790694300924
49,13.16666669845581,-50.88169387043953,11.986574341563554,-46.50823385596681
50,13.49149776927214,-50.89569932490197,12.219907643107742,-46.52285313540919
51,13.79149776927214,-50.91013045537599,12.485414609686247,-46.53164695735323
52,14.091497769272141,-50.924420759602484,12.752081308142056,-46.526644506097156
53,14.39149776927214,-50.938136601762686,13.01485449270383,-46.51044618077292
54,14.691497769272141,-50.952330939477164,13.24818779424802,-46.48757549619266
55,14.991497864639573,-50.96730523721009,13.509652439605901,-46.46348236987834
56,15.29149776927214,-50.982480336175705,13.76297813450904,-46.437751327426724
57,15.591497769272141,-50.996090423066676,13.99631143605323,-46.41378410575107
58,15.891497864639572,-51.006576120040236,14.249432181009103,-46.39253808832739
59,16.19149776927214,-51.01358538373769,14.516098879464915,-46.37261453543867
60,16.5,-51.017724840491724,14.751118172064025,-46.35826252180808
61,16.83333339691162,-51.020267756508055,14.984451473608214,-46.34673018256434
62,17.16666669845581,-51.01971987366764,15.217784870519836,-46.338664117709286
63,17.491612313992256,-51.01582187961601,15.455011590590633,-46.3319526921779
64,17.791612313992253,-51.00965700333716,15.721678289046443,-46.32257917033933
65,18.091612313992254,-50.99908617019917,15.988344987502254,-46.309729661305916
66,18.391612313992255,-50.984696282760254,16.268352594143302,-46.29039218640462
67,18.691612313992255,-50.96725523325557,16.551515256463446,-46.26654187890762
68,18.991612313992256,-50.94784451636421,16.818181954919257,-46.23713121258929
69,19.291612313992253,-50.926371201382025,17.08484865337507,-46.19948639487784
70,19.591612313992254,-50.901632058878604,17.376154119265316,-46.15327171897452
71,19.86104311529875,-50.87751186500907,17.642820722353694,-46.10674993949014
72,20.12770990912199,-50.84916608228009,17.909487325442072,-46.04820094680792
73,20.402764198218115,-50.817217441544415,18.1706214938691,-45.98544520925336
74,20.702764198218112,-50.78233921348108,18.40395489078072,-45.924808610372125
75,21.002764198218113,-50.74787411903631,18.63728809695748,-45.867930521528876
