,si_lon,si_lat
246,66.5,-63.833333333333336
247,67.5,-63.5
248,68.5,-63.5
249,69.5,-63.5
250,70.5,-63.833333333333336
251,71.5,-64.16666666666667
252,72.5,-64.5
253,73.5,-64.5
254,74.5,-64.5
255,75.5,-64.5
256,76.5,-64.5
257,77.5,-64.5
258,78.5,-64.5
259,79.5,-64.5
260,80.5,-64.5
261,81.5,-64.5
262,82.5,-64.16666666666667
263,83.5,-63.833333333333336
264,84.5,-63.166666666666664
265,85.5,-63.166666666666664
266,86.5,-63.166666666666664
267,87.5,-63.5
268,88.5,-63.5
269,89.5,-63.5
270,90.5,-63.5
271,91.5,-63.5
272,92.5,-63.5
273,93.5,-63.5
274,94.5,-63.5
275,95.5,-63.166666666666664
276,96.5,-62.833333333333336
277,97.5,-62.5
278,98.5,-62.5
279,99.5,-62.5
280,100.5,-62.5
281,101.5,-62.5
282,102.5,-62.833333333333336
283,103.5,-63.166666666666664
284,104.5,-63.5
285,105.5,-63.5
286,106.5,-63.5
287,107.5,-63.833333333333336
288,108.5,-64.16666666666667
289,109.5,-64.5
290,110.5,-64.5
291,111.5,-64.5
292,112.5,-64.5
293,113.5,-64.5
294,114.5,-64.5
295,115.5,-64.16666666666667
296,116.5,-63.833333333333336
297,117.5,-63.833333333333336
298,118.5,-64.16666666666667
299,119.5,-64.5
300,120.5,-64.5
301,121.5,-64.5
302,122.5,-64.5
303,123.5,-64.5
304,124.5,-64.5
305,125.5,-64.5
306,126.5,-64.5
307,127.5,-64.5
308,128.5,-64.5
309,129.5,-64.5
310,130.5,-64.5
311,131.5,-64.5
312,132.5,-64.5
313,133.5,-64.5
314,134.5,-64.5
315,135.5,-64.5
316,136.5,-64.5
317,137.5,-64.5
318,138.5,-64.5
319,139.5,-64.5
320,140.5,-64.83333333333333
321,141.5,-65.16666666666667
322,142.5,-65.5
323,143.5,-65.5
324,144.5,-65.5
325,145.5,-65.5
326,146.5,-65.5
327,147.5,-65.5
328,148.5,-65.5
329,149.5,-65.16666666666667
330,150.5,-64.83333333333333
331,151.5,-64.5
332,152.5,-64.5
333,153.5,-64.5
334,154.5,-64.5
335,155.5,-64.16666666666667
336,156.5,-63.833333333333336
337,157.5,-63.5
338,158.5,-63.5
339,159.5,-63.5
340,160.5,-63.5
341,161.5,-63.5
342,162.5,-63.5
343,163.5,-63.5
344,164.5,-63.5
345,165.5,-63.833333333333336
346,166.5,-64.16666666666667
347,167.5,-64.5
348,168.5,-64.5
349,169.5,-64.5
350,170.5,-64.5
351,171.5,-64.5
352,172.5,-64.5
353,173.5,-64.5
354,174.5,-64.83333333333333
355,175.5,-65.16666666666667
356,176.5,-65.5
357,177.5,-65.5
358,178.5,-65.5
359,179.5,-65.5
